[rosmaster.main][INFO] 2021-09-23 15:33:02,906: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-23 15:33:02,906: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-23 15:33:02,906: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-23 15:33:02,906: Started XML-RPC server [http://wng:11311/]
[xmlrpc][INFO] 2021-09-23 15:33:02,906: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-23 15:33:02,907: Master initialized: port[11311], uri[http://wng:11311/]
[rosmaster.master][INFO] 2021-09-23 15:33:02,969: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:02,970: +PARAM [/roslaunch/uris/host_wng__34071] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,016: +SERVICE [/rosout/get_loggers] /rosout http://wng:41239/
[rosmaster.master][INFO] 2021-09-23 15:33:03,016: +SERVICE [/rosout/set_logger_level] /rosout http://wng:41239/
[rosmaster.master][INFO] 2021-09-23 15:33:03,017: +PUB [/rosout_agg] /rosout http://wng:41239/
[rosmaster.master][INFO] 2021-09-23 15:33:03,018: +SUB [/rosout] /rosout http://wng:41239/
[rosmaster.master][INFO] 2021-09-23 15:33:03,091: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/move_group/panda_arm/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/rviz_wng_18654_6274326412946812101/panda_arm/kinematics_solver_timeout] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/robot_description_planning/joint_limits/panda_joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,092: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,093: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,094: +PARAM [/move_group/hand/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2021-09-23 15:33:03,094: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
