[rosmaster.main][INFO] 2021-09-09 21:33:27,225: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-09-09 21:33:27,225: Starting ROS Master Node
[xmlrpc][INFO] 2021-09-09 21:33:27,229: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2021-09-09 21:33:27,229: Started XML-RPC server [http://wng:11311/]
[rosmaster.master][INFO] 2021-09-09 21:33:27,229: Master initialized: port[11311], uri[http://wng:11311/]
[xmlrpc][INFO] 2021-09-09 21:33:27,230: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2021-09-09 21:33:27,289: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,290: +PARAM [/roslaunch/uris/host_wng__35735] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,340: +SERVICE [/rosout/get_loggers] /rosout http://wng:45179/
[rosmaster.master][INFO] 2021-09-09 21:33:27,341: +SERVICE [/rosout/set_logger_level] /rosout http://wng:45179/
[rosmaster.master][INFO] 2021-09-09 21:33:27,342: +PUB [/rosout_agg] /rosout http://wng:45179/
[rosmaster.master][INFO] 2021-09-09 21:33:27,343: +SUB [/rosout] /rosout http://wng:45179/
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/panda_arm/planner_configs] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/robot_description_planning/joint_limits/panda_joint3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,396: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2021-09-09 21:33:27,397: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
